word,polarity,word_clean,word_preprocessed
 ممتاز,3,ممتاز,ممتاز
 رائع,3,رائع,رايع
 مبهر,3,مبهر,مبهر
 جميل,3,جميل,جميل
 ساحر,3,ساحر,ساحر
أجمل,3,اجمل,اجمل
روعه,3,روعه,روع
أسطورة,3,اسطورة,اسطور
حبيته,3,حبيته,حبي
احبتتها,3,احبتتها,احبت
مهتمين,3,مهتمين,مهتم
تعديلات ,3,تعديلات,تعديلا
ونيسه,3,ونيسه,نيس
اجابي,3,اجابي,اجاب
يمتاز,3,يمتاز,يمتاز
لازم,3,لازم,لازم
تزرونه,3,تزرونه,تزرون
اعجبني,3,اعجبني,اعجب
يشكرون ,3,يشكرون,يشكر
يستمتعون,3,يستمتعون,استمتع
الإيجابيات,3,الايجابيات,ايجاب
انصح,3,انصح,انصح
جذاب,3,جذاب,جذاب
مهمه,3,مهمه,مهم
جبار,3,جبار,جبار
الذ,3,الذ,الذ
تجنن,3,تجنن,تجن
لطيف,3,لطيف,لطيف
اهتمام,3,اهتمام,اهتمام
خطيره,3,خطيره,خطير
اشتقت,3,اشتقت,اشتق
كفو,3,كفو,كفو
فوق ,3,فوق,
اروق,3,اروق,اروق
يجننون,3,يجننون,يجنن
لايفوته,3,لايفوته,لايفو
خرافي,3,خرافي,خراف
بيعجب,3,بيعجب,يعجب
انبهرت,3,انبهرت,انبهر
ماتندم,3,ماتندم,ماتندم
استرخاء,3,استرخاء,استرخاء
يهبل,3,يهبل,يهبل
تحفه,3,تحفه,تحف
الحمدلله,3,الحمدلله,حمدلله
مذهله,3,مذهله,مذهل
عشق,3,عشق,عشق
لايوصف,3,لايوصف,لايوصف
جماله,3,جماله,جمال
اشكر,3,اشكر,اشكر
حب,3,حب,حب
ابداع,3,ابداع,ابداع
مطلق,3,مطلق,مطلق
فخامه,3,فخامه,خام
أكثر,3,اكثر,اكثر
تحب ,3,تحب,تحب
عريقه,3,عريقه,عريق
حلوة,3,حلوة,حلو
رخيصه,3,رخيصه,رخيص
مدهشه,3,مدهشه,مدهش
لطافه,3,لطافه,لطاف
ترحيب,3,ترحيب,ترحيب
المفضل,3,المفضل,مفضل
واسع,3,واسع,واسع
ظريف,3,ظريف,ظريف
احسن,3,احسن,احس
انيق,3,انيق,انيق
ولااجمل,3,ولااجمل,لااجمل
ولااروع,3,ولااروع,لااروع
بطل,3,بطل,بطل
أروع ما,3,اروع ما,اروع
ادمنت,3,ادمنت,ادمن
منتهى ,3,منتهى,منتهي
فارهه,3,فارهه,فار
فخر,3,فخر,فخر
التوفيق,3,التوفيق,توفيق
برافو,3,برافو,راف
علية,3,علية,عل
المتعة,3,المتعة,متع
النجاح,3,النجاح,نجاح
تستحق,3,تستحق,استحق
تعجبني,3,تعجبني,تعجب
عجبتني,3,عجبتني,عجب
تفوقت ,3,تفوقت,تفوق
توحفة,3,توحفة,توحف
جربوها,3,جربوها,جرب
خورافية,3,خورافية,خوراف
عادي ,3,عادي,عاد
فريدة,3,فريدة,ريد
متقن,3,متقن,متق
ملفت,3,ملفت,ملف
ملك,3,ملك,ملك
مفيد,3,مفيد,مفيد
ذكي,3,ذكي,ذك
جذبتني,3,جذبتني,جذب
ابهرتني,3,ابهرتني,ابهر
بحبها,3,بحبها,بحب
سطوري,3,سطوري,سطور
محبوب,3,محبوب,محبوب
يحبون,3,يحبون,يحبون
الخيال,3,الخيال,خيال
تهبل,3,تهبل,تهبل
فظيعة,3,فظيعة,ظيع
خلوق,3,خلوق,خلوق
اناقة,3,اناقة,اناق
بيرفكت,3,بيرفكت,يرفك
إحساس,3,احساس,احساس
شدني,3,شدني,شدن
بشوشين,3,بشوشين,شوش
محترمين,3,محترمين,محترم
الجميع,3,الجميع,جميع
كميه ,3,كميه,كمي
ارقي,3,ارقي,ارق
كيفك,3,كيفك,كيف
يسنعونهم,3,يسنعونهم,يسنع
سنع,3,سنع,سنع
الافخم,3,الافخم,افخم
حافل,3,حافل,حافل
متناهية,3,متناهية,متناه
تمتاز,3,تمتاز,تمتاز
معلم,3,معلم,معلم
مميز,3,مميز,مميز
المعالم,3,المعالم,معالم
عظيم,3,عظيم,عظيم
ضروري,3,ضروري,ضرور
يحمس,3,يحمس,يحمس
لبق,3,لبق,لبق
ابدعوا,3,ابدعوا,ابدع
هيبه,3,هيبه,هيب
اعشق,3,اعشق,اعشق
تفداك,3,تفداك,تفد
تفز,3,تفز,تفز
يافخر,3,يافخر,يافخر
متفائله,3,متفائله,متفايل
باهر,3,باهر,باهر
ناجح,3,ناجح,ناجح
ماقصر,3,ماقصر,ماقصر
افرحت,3,افرحت,افرح
عز,3,عز,عز
سرعه,3,سرعه,سرع
ودود,3,ودود,دود
جامد,3,جامد,جامد
فخم,3,فخم,فخم
