,text,polarity
0,التنظيم وحسن المعاملة وتقديم مبسط للمعلومات القيمة بطريقة التقنية الحديثة جدا ممتعة الزيارة الكلام ووصف سيدنا محمد صلي الله علية وسلم بكت عنية من الفرحة,Positive
1,مقفله مؤقتا,Negative
2,متحف جميل وراقي يعكس فتره حياة المؤسس رحمه الله,Positive
3,ترتيب الدخول والخروج ممتازه المواقف تحتاج سفلته للاسف لازالت ترابيه,Positive
4,تلفريك الهدا جميل جدا ورائع  ويجمع طقسين بارد فوق دافي تحت في الشتاء في الصيف معتدل فوق حار قليل تحت  منظر جبل مشوق العاب مائيه جميله وافضل وقت النهار افضل في ليل ماتشوف شيء  ويحتوي على مصلى ودورات مياه ومكان اصلا مرتب,Positive
5,الصراحة كانت تجربة رائعه وجميله ويستاهل خصوصا الاخت رنا كانت جدا رائعه في الشرح واتمنى لها التوفيق,Positive
6,جميلة جدا الحمامات نظيفة جدا فيه العاب وواي فاي,Positive
7,لاباس ولكن يبغى لها اهتمام اكبر  ولايوجد خدمات,Positive
8,المكان جميل لكن المساحة صغيرة جدا على الاقسام الموجودة,Positive
9,توقعتها افضل من كذا بكثير تحتاج تطوير واجد المدينة غير مرتبة ومافية مركز معلومات سياحي يوضح تاريخ المباني والسكان,Positive
10,معشوقتي ولا اعشق غيرها,Neutral
11,المكان جميل بس نصيحة اللي اول مرة يزور المكان لا تروح بعد المغرب وتاكد من الفعاليات على موقعهم قبل تروح لانه كان ميت لما رحت الزيارة كانت يوم الاربعاء مافيه فعاليات والسينما كان وقت العروض انتهى حتى المكتبة الرائعة مايمديك عليها باختصار المكان يحتاج ع الاقل ساعتين,Positive
12,المكان جميل وبه فعاليات وانشطة للاطفال,Positive
13,مكان جميل لافراد العائله ويوجد محلات لبيع الادوات القديمه والتراثيه,Positive
14,ممر في كشكاك للبع الملابس و التحف وبعض الكفيهات و المطاعم,Neutral
15,روعه جدا جدا جدا,Neutral
16,يحتاج اهتمام وتواجد مرشد سياحي امل من السياحة النظر في ذالك والاهتمام,Negative
17,جميل جدا الوثائق اللي فيها والصور والسيارات المكان كله جميل بس التذاكر  الشخص اشوف انه غالي وبرضو ريحة الاكل طااالعه مره بكل مكان ضايقني شخصيا مكان تراثي النفروض يعج بالعود وريحة القهوة مو ريحة لحم,Positive
18,لا باس فية اماكن الاثار مقفلة حاليا نظرا للاوضاع الراهنة,Negative
19,متحف راقي وجميل جدا لا يوجد رسوم دخول للمتحف,Positive
20,جدا جميل و متعوب عليه والمرشد الي هناك جدا جدا مثقف واخلاقه  ماشاء الله عليهم انصح بزيارته,Positive
21,تحفة معمارية قائمه,Neutral
22,الاكل المكان جميل مشكلتهم دخولك بفلوس تجلس بفلوس والاكل غالي,Positive
23,ماشاء الله  ابداع  وروعه,Positive
24,منظم و ممتع وجميل للعائله ,Positive
25,عتيبه الهلال,Neutral
26,اجججمل وارقى مكان بالرياض,Positive
27,مكان جميل بها حيوانات كثيرة واغلب الاحيان مزدحمة بالزوار في يوم الجمعة,Positive
28,الدخول  برسوم الكبير  الصغير   المتحف ماشاء الله نظافه واهتمام من داخل وترتيب ويحسسك في شعور وراحه نفسيه وانت,Positive
29,جميل جدا  الدخول بتذاكر الكبير ب والاطفال تحت  سنوات مجاني   زرته الظهر وكانت درجة الحراره بالخارج وبعد ما دخلنا المغاره تدنت درجات الحراره الى العشرينات المكان جميل  انبسطت اني زرته,Positive
30,مكان عريق ويجذب التفكيري فالاحداث وما دار فيه من السلف الصالح وصحابه سيد الاولين والاخرين,Positive
31,ممتاز لكن جودة الاكل لم تعد بالمستوى السابق اسعار الدخول غاليه,Positive
32,جميله حديقة طيور,Positive
33,موقع فريد,Neutral
34,المكان مثري جدا للاطفال,Neutral
35,مكان جدا جميل خاصتا في موسم الشتاء والربيع توجد في البحيره اسماك كثيره يمكنكم اطعامها ويوجد بط وطيور جدا رائعه والنخيل بها ساحر,Positive
36,نامس,Negative
37,من اجمل الاماكن الى قلبي جدة التاريخية لمشاهدة فيديوهات تابعوا قناتي على اليوتيوب اسم القناة  الكابتن عبدالله النهدي,Positive
38,مكان جميل ينقل لك صورة عن الحياة قديما وعن التراث في منطقة جازان يوجد كذلك سوق شعبي للمنتجات الجازانية يستحق الزيارة,Positive
39,موقعها جميل بواجهة كورنيش الدمام  تذكرة الدخول  ريال للكبار مدري اذا الاطفال لهم تذكرة  تسمح لك التذكرة بجوله على متحف القريه يشمل تراث و اجهزة و حيوانات محنطه و سيارات قديمه و سوق شعبي يغلق عند العاشرة و النصف اما المطعم يغلق عند,Positive
40,جميل والمدينه المائيه اجمل مافيها,Positive
41,صراحه فوق الابداع والوصف الرجل مهتم بادق التفاصيل و واضح جهده وتعبه وكل شي مرتب وموثق وانيق سعيده جدا بزيارتي لهذا المكان اللي اعادني للزمن الجميل,Positive
42,الحديقة جميلة و نظيفة جدا واغلب الحيوانات موجودة وواضحة  بداية اليوم كان الجو بارد والشمس خفيفة بعدين احتجنا شمسية لان الشمس قوية مع الهواء البارد  كل شي متوفر في الكشكات والكافيه باسعار جدا بسيطة  بعض الحيوانات تدخل وما تكون واضحة يمكن تحتاج اكثر من لفة على الحديقة,Negative
43,متحف جميل ورائع ينقل الزائر الى زمن الاجداد مليء بالنوادر والقطع التراثية  يستحق الزيارة والقائم عليه الاستاذ  خالد ما قصر معنا استقبل ورحب وافادنا  ولكن يليت يكون هناك ايضا اكثر من موظف في المتحف لكي يتم الشرح للناس وتعريفهم بهذه المقتنيات,Positive
44,الحديقة جميلة للعوائل وافضل وقت لها مابعد العصر الصباح الجو حار شوي,Positive
45,بصراحه المكاان يجنن وفي فعاليات وحمااس انصح ترحون فيه,Positive
46,الموقع طيب ماعليه,Neutral
47,اتوقعته,Neutral
